region,name,number,gender,birthYear,party,number of votes,percentage of votes,elected,incumbent,type of election,identity
新竹縣第01選區,傅家賢,6,男,1966,無黨籍及未經政黨推薦,1655,1.11%,,否,第 10 屆 立法委員選舉,區域
新竹縣第02選區,林碩彥,1,男,1976,台灣民眾黨,17902,11.05%,,否,第 10 屆 立法委員選舉,區域
新竹縣第02選區,陳冠宇,2,男,1990,綠黨,4121,2.54%,,否,第 10 屆 立法委員選舉,區域
新竹縣第02選區,林思銘,3,男,1966,中國國民黨,58575,36.17%,*,否,第 10 屆 立法委員選舉,區域
新竹縣第02選區,鄭朝方,4,男,1980,民主進步黨,56075,34.62%,,否,第 10 屆 立法委員選舉,區域
新竹縣第02選區,黃秀龍,5,男,1960,無黨籍及未經政黨推薦,1072,0.66%,,否,第 10 屆 立法委員選舉,區域
新竹縣第02選區,劉士睿,6,男,1985,台灣基進,1245,0.77%,,否,第 10 屆 立法委員選舉,區域
新竹縣第02選區,邱靖雅,7,女,1972,國會政黨聯盟,22964,14.18%,,否,第 10 屆 立法委員選舉,區域
苗栗縣第01選區,鍾林芷綸,1,女,1966,台澎黨,632,0.42%,,否,第 10 屆 立法委員選舉,區域
苗栗縣第01選區,羅貴星,2,男,1961,民主進步黨,56622,37.98%,,否,第 10 屆 立法委員選舉,區域
苗栗縣第01選區,朱哲成,3,男,1989,台灣民眾黨,16566,11.11%,,否,第 10 屆 立法委員選舉,區域
苗栗縣第01選區,陳超明,4,男,1951,中國國民黨,73154,49.07%,*,是,第 10 屆 立法委員選舉,區域
苗栗縣第01選區,朱英濠,5,男,1960,無黨籍及未經政黨推薦,1046,0.70%,,否,第 10 屆 立法委員選舉,區域
苗栗縣第01選區,曾國良,6,男,1962,無黨籍及未經政黨推薦,1050,0.70%,,否,第 10 屆 立法委員選舉,區域
苗栗縣第02選區,温俊勇,1,男,1976,無黨籍及未經政黨推薦,19418,11.53%,,否,第 10 屆 立法委員選舉,區域
苗栗縣第02選區,徐定禎,2,男,1961,民主進步黨,50629,30.07%,,否,第 10 屆 立法委員選舉,區域
苗栗縣第02選區,曾宛菁,3,女,1985,中華統一促進黨,2803,1.66%,,否,第 10 屆 立法委員選舉,區域
苗栗縣第02選區,林名哲,4,男,1984,勞動黨,1706,1.01%,,否,第 10 屆 立法委員選舉,區域
苗栗縣第02選區,林昱同,5,男,1983,台灣基進,2694,1.60%,,否,第 10 屆 立法委員選舉,區域
苗栗縣第02選區,徐志榮,6,男,1955,中國國民黨,91144,54.13%,*,是,第 10 屆 立法委員選舉,區域
彰化縣第01選區,柯呈枋,1,男,1972,中國國民黨,88690,47.97%,,是,第 10 屆 立法委員選舉,區域
彰化縣第01選區,陳秀寳,2,女,1972,民主進步黨,96191,52.03%,*,否,第 10 屆 立法委員選舉,區域
彰化縣第02選區,張瀚天,1,男,1968,中國國民黨,78177,42.48%,,否,第 10 屆 立法委員選舉,區域
彰化縣第02選區,黃秀芳,2,女,1971,民主進步黨,83013,45.11%,*,是,第 10 屆 立法委員選舉,區域
彰化縣第02選區,黄玉芬,3,女,1982,無黨籍及未經政黨推薦,22834,12.41%,,否,第 10 屆 立法委員選舉,區域
彰化縣第03選區,謝衣鳯,1,女,1977,中國國民黨,97396,51.15%,*,否,第 10 屆 立法委員選舉,區域
彰化縣第03選區,楊麗香,2,女,1964,無黨籍及未經政黨推薦,8518,4.47%,,否,第 10 屆 立法委員選舉,區域
彰化縣第03選區,劉銀鬃,3,男,1954,台澎黨,1116,0.59%,,否,第 10 屆 立法委員選舉,區域
彰化縣第03選區,洪宗熠,4,男,1969,民主進步黨,83380,43.79%,,是,第 10 屆 立法委員選舉,區域
彰化縣第04選區,林怡彣,1,女,1976,勞工黨,2451,1.26%,,否,第 10 屆 立法委員選舉,區域
彰化縣第04選區,洪祐輔,2,男,1941,無黨籍及未經政黨推薦,1507,0.78%,,否,第 10 屆 立法委員選舉,區域
彰化縣第04選區,蕭翠瑩,3,女,1982,綠黨,3831,1.97%,,否,第 10 屆 立法委員選舉,區域
彰化縣第04選區,陳素月,4,女,1966,民主進步黨,103740,53.42%,*,是,第 10 屆 立法委員選舉,區域
彰化縣第04選區,蕭景田,5,男,1954,中國國民黨,78603,40.48%,,否,第 10 屆 立法委員選舉,區域
彰化縣第04選區,陳志傑,6,男,1967,安定力量,2913,1.50%,,否,第 10 屆 立法委員選舉,區域
彰化縣第04選區,何倍爾,7,男,1986,勞動黨,1138,0.59%,,否,第 10 屆 立法委員選舉,區域
南投縣第01選區,馬文君,1,女,1965,中國國民黨,73480,53.57%,*,是,第 10 屆 立法委員選舉,區域
南投縣第01選區,蔡培慧,2,女,1971,民主進步黨,63691,46.43%,,是,第 10 屆 立法委員選舉,區域
南投縣第02選區,許淑華,1,女,1975,中國國民黨,80067,54.83%,*,是,第 10 屆 立法委員選舉,區域
南投縣第02選區,謝福全,2,男,1951,宗教聯盟,978,0.67%,,否,第 10 屆 立法委員選舉,區域
南投縣第02選區,吳承叡,3,男,1995,台灣基進,4865,3.33%,,否,第 10 屆 立法委員選舉,區域
南投縣第02選區,傅文佐,4,男,1975,合一行動聯盟,800,0.55%,,否,第 10 屆 立法委員選舉,區域
南投縣第02選區,陳癸佑,5,男,1968,民主進步黨,59322,40.62%,,否,第 10 屆 立法委員選舉,區域
雲林縣第01選區,張嘉郡,1,女,1981,中國國民黨,86862,46.38%,,否,第 10 屆 立法委員選舉,區域
雲林縣第01選區,蘇治芬,2,女,1953,民主進步黨,94786,50.61%,*,是,第 10 屆 立法委員選舉,區域
雲林縣第01選區,林富源,3,男,1971,無黨籍及未經政黨推薦,3558,1.90%,,否,第 10 屆 立法委員選舉,區域
雲林縣第01選區,李昭儀,4,女,1985,台灣革命黨,2088,1.11%,,否,第 10 屆 立法委員選舉,區域
雲林縣第02選區,彭新銘,1,男,1991,無黨籍及未經政黨推薦,6070,2.91%,,否,第 10 屆 立法委員選舉,區域
雲林縣第02選區,劉建國,2,男,1969,民主進步黨,119468,57.30%,*,是,第 10 屆 立法委員選舉,區域
雲林縣第02選區,張永津,3,男,1971,喜樂島聯盟,805,0.39%,,否,第 10 屆 立法委員選舉,區域
雲林縣第02選區,謝淑亞,4,女,1960,中國國民黨,82150,39.40%,,否,第 10 屆 立法委員選舉,區域
嘉義縣第01選區,黃俊雄,1,男,1966,喜樂島聯盟,1336,0.95%,,否,第 10 屆 立法委員選舉,區域
嘉義縣第01選區,王啓澧,2,男,1964,中國國民黨,56256,39.96%,,否,第 10 屆 立法委員選舉,區域
嘉義縣第01選區,黃奕瑄,3,女,1971,中華統一促進黨,2175,1.54%,,否,第 10 屆 立法委員選舉,區域
嘉義縣第01選區,蔡易餘,4,男,1981,民主進步黨,81028,57.55%,*,是,第 10 屆 立法委員選舉,區域
嘉義縣第02選區,許能通,1,男,1953,無黨籍及未經政黨推薦,13246,8.47%,,否,第 10 屆 立法委員選舉,區域
嘉義縣第02選區,許韶珍,2,女,1969,喜樂島聯盟,2681,1.71%,,否,第 10 屆 立法委員選舉,區域
嘉義縣第02選區,林國慶,3,男,1965,無黨籍及未經政黨推薦,64415,41.20%,,否,第 10 屆 立法委員選舉,區域
嘉義縣第02選區,簡明廉,4,男,1961,無黨籍及未經政黨推薦,1443,0.92%,,否,第 10 屆 立法委員選舉,區域
嘉義縣第02選區,陳明文,5,男,1954,民主進步黨,72141,46.14%,*,是,第 10 屆 立法委員選舉,區域
嘉義縣第02選區,王金山,6,男,1969,台灣維新,2418,1.55%,,否,第 10 屆 立法委員選舉,區域
屏東縣第01選區,葉壽山,1,男,1968,中國國民黨,90467,37.40%,,否,第 10 屆 立法委員選舉,區域
屏東縣第01選區,鍾佳濱,2,男,1965,民主進步黨,119871,49.55%,*,是,第 10 屆 立法委員選舉,區域
屏東縣第01選區,黃冬輝,3,男,1959,無黨籍及未經政黨推薦,2700,1.12%,,否,第 10 屆 立法委員選舉,區域
屏東縣第01選區,蔣月惠,4,女,1959,無黨籍及未經政黨推薦,24118,9.97%,,否,第 10 屆 立法委員選舉,區域
屏東縣第01選區,秦鴻明,5,男,1967,無黨籍及未經政黨推薦,281,0.12%,,否,第 10 屆 立法委員選舉,區域
屏東縣第01選區,潘偉龍,6,男,1994,一邊一國行動黨,4476,1.85%,,否,第 10 屆 立法委員選舉,區域
屏東縣第02選區,鄭朝明,1,男,1952,無黨籍及未經政黨推薦,7214,3.14%,,否,第 10 屆 立法委員選舉,區域
屏東縣第02選區,周佳琪,2,女,1983,中國國民黨,91168,39.67%,,否,第 10 屆 立法委員選舉,區域
屏東縣第02選區,蘇震清,3,男,1965,無黨籍及未經政黨推薦,107956,46.98%,*,是,第 10 屆 立法委員選舉,區域
屏東縣第02選區,何秋葺,4,女,1970,台灣工黨,1102,0.48%,,否,第 10 屆 立法委員選舉,區域
屏東縣第02選區,何麗莉,5,女,1966,中華統一促進黨,631,0.27%,,否,第 10 屆 立法委員選舉,區域
屏東縣第02選區,姚宗翰,6,男,1983,無黨籍及未經政黨推薦,957,0.42%,,否,第 10 屆 立法委員選舉,區域
屏東縣第02選區,鄭文龍,7,男,1967,國會政黨聯盟,887,0.39%,,否,第 10 屆 立法委員選舉,區域
屏東縣第02選區,張怡,8,女,1976,無黨籍及未經政黨推薦,19209,8.36%,,否,第 10 屆 立法委員選舉,區域
屏東縣第02選區,馮家芸,9,女,1961,台澎黨,682,0.30%,,否,第 10 屆 立法委員選舉,區域
臺東縣第01選區,張志明,1,男,1964,中國國民黨,32737,41.88%,,否,第 10 屆 立法委員選舉,區域
臺東縣第01選區,陳允萍,2,男,1969,台灣民眾黨,3527,4.51%,,否,第 10 屆 立法委員選舉,區域
臺東縣第01選區,張坤和,3,男,1953,無黨籍及未經政黨推薦,404,0.52%,,否,第 10 屆 立法委員選舉,區域
臺東縣第01選區,劉櫂豪,4,男,1967,民主進步黨,41493,53.09%,*,是,第 10 屆 立法委員選舉,區域
花蓮縣第01選區,蕭嘉豪,1,男,1988,民生公益,417,0.30%,,否,第 10 屆 立法委員選舉,區域
花蓮縣第01選區,蕭美琴,2,女,1971,民主進步黨,56485,40.53%,,是,第 10 屆 立法委員選舉,區域
花蓮縣第01選區,黃啓嘉,3,男,1966,中國國民黨,17507,12.56%,,否,第 10 屆 立法委員選舉,區域
花蓮縣第01選區,許願神,4,男,1954,臺灣前進黨,795,0.57%,,否,第 10 屆 立法委員選舉,區域
花蓮縣第01選區,曹純明,5,男,1974,中華統一促進黨,90,0.06%,,否,第 10 屆 立法委員選舉,區域
花蓮縣第01選區,傅崐萁,6,男,1962,無黨籍及未經政黨推薦,64060,45.97%,*,否,第 10 屆 立法委員選舉,區域
澎湖縣第01選區,呂應宏,1,男,1951,喜樂島聯盟,653,1.31%,,否,第 10 屆 立法委員選舉,區域
澎湖縣第01選區,歐中慨,2,男,1958,中國國民黨,22332,44.91%,,否,第 10 屆 立法委員選舉,區域
澎湖縣第01選區,楊曜,3,男,1966,民主進步黨,26737,53.77%,*,是,第 10 屆 立法委員選舉,區域
基隆市第01選區,蔡適應,1,男,1973,民主進步黨,104082,47.29%,*,是,第 10 屆 立法委員選舉,區域
基隆市第01選區,宋瑋莉,2,女,1957,中國國民黨,83689,38.03%,,否,第 10 屆 立法委員選舉,區域
基隆市第01選區,張耿輝,3,男,1961,無黨籍及未經政黨推薦,13374,6.08%,,否,第 10 屆 立法委員選舉,區域
基隆市第01選區,楊石城,4,男,1962,國會政黨聯盟,18942,8.61%,,否,第 10 屆 立法委員選舉,區域
新竹市第01選區,鄭正鈐,1,男,1969,中國國民黨,95298,36.97%,*,否,第 10 屆 立法委員選舉,區域
新竹市第01選區,鄭宏輝,2,男,1969,民主進步黨,82011,31.81%,,否,第 10 屆 立法委員選舉,區域
新竹市第01選區,廖蓓瑩,3,女,1974,國會政黨聯盟,5151,2.00%,,否,第 10 屆 立法委員選舉,區域
新竹市第01選區,王榮德,4,男,1953,無黨籍及未經政黨推薦,971,0.38%,,否,第 10 屆 立法委員選舉,區域
新竹市第01選區,高鈺婷,5,女,1985,時代力量,73770,28.62%,,否,第 10 屆 立法委員選舉,區域
新竹市第01選區,曾楷耀,6,男,1974,台灣維新,589,0.23%,,否,第 10 屆 立法委員選舉,區域
嘉義市第01選區,陳泰山,1,男,1949,無黨籍及未經政黨推薦,215,0.13%,,否,第 10 屆 立法委員選舉,區域
嘉義市第01選區,凌子楚,2,男,1965,無黨籍及未經政黨推薦,7270,4.54%,,否,第 10 屆 立法委員選舉,區域
嘉義市第01選區,戴寧,3,女,1982,無黨籍及未經政黨推薦,14000,8.75%,,否,第 10 屆 立法委員選舉,區域
嘉義市第01選區,黃宏成台灣阿成世界偉人財神總統,4,男,1968,無黨籍及未經政黨推薦,1208,0.75%,,否,第 10 屆 立法委員選舉,區域
嘉義市第01選區,傅大偉,5,男,1963,中國國民黨,53154,33.22%,,否,第 10 屆 立法委員選舉,區域
嘉義市第01選區,王美惠,6,女,1965,民主進步黨,80333,50.20%,*,否,第 10 屆 立法委員選舉,區域
嘉義市第01選區,蔡永泉,7,男,1952,無黨籍及未經政黨推薦,3501,2.19%,,否,第 10 屆 立法委員選舉,區域
嘉義市第01選區,郭瑞豐,8,男,1957,國會政黨聯盟,338,0.21%,,否,第 10 屆 立法委員選舉,區域
臺北市第01選區,王郁揚,1,男,1986,無黨籍及未經政黨推薦,4004,1.94%,,否,第 10 屆 立法委員選舉,區域
臺北市第01選區,吳思瑤,2,女,1974,民主進步黨,107850,52.12%,*,是,第 10 屆 立法委員選舉,區域
臺北市第01選區,李婉鈺,3,女,1972,一邊一國行動黨,6636,3.21%,,否,第 10 屆 立法委員選舉,區域
臺北市第01選區,孫士堅,4,男,1959,合一行動聯盟,795,0.38%,,否,第 10 屆 立法委員選舉,區域
臺北市第01選區,賴宗育,5,男,1978,人民民主黨,1870,0.90%,,否,第 10 屆 立法委員選舉,區域
臺北市第01選區,方儉,6,男,1960,綠黨,2203,1.06%,,否,第 10 屆 立法委員選舉,區域
臺北市第01選區,汪志冰,7,女,1957,中國國民黨,83566,40.38%,,否,第 10 屆 立法委員選舉,區域
臺北市第02選區,何志偉,1,男,1982,民主進步黨,123652,62.87%,*,是,第 10 屆 立法委員選舉,區域
臺北市第02選區,郭啟源,2,男,1973,中華統一促進黨,418,0.21%,,否,第 10 屆 立法委員選舉,區域
臺北市第02選區,巫超勝,3,男,1946,宗教聯盟,394,0.20%,,否,第 10 屆 立法委員選舉,區域
臺北市第02選區,陳民乾,4,男,1961,一邊一國行動黨,1192,0.61%,,否,第 10 屆 立法委員選舉,區域
臺北市第02選區,孫大千,5,男,1969,中國國民黨,68667,34.91%,,否,第 10 屆 立法委員選舉,區域
臺北市第02選區,熊嘉玲,6,女,1969,合一行動聯盟,2360,1.20%,,否,第 10 屆 立法委員選舉,區域
臺北市第03選區,何景榮,1,男,1977,台灣民眾黨,5730,2.61%,,否,第 10 屆 立法委員選舉,區域
臺北市第03選區,吳怡農,2,男,1980,民主進步黨,99539,45.40%,,否,第 10 屆 立法委員選舉,區域
臺北市第03選區,田方宇,3,男,1964,安定力量,1209,0.55%,,否,第 10 屆 立法委員選舉,區域
臺北市第03選區,蔣萬安,4,男,1978,中國國民黨,112784,51.44%,*,是,第 10 屆 立法委員選舉,區域
臺北市第04選區,郭正典,1,男,1953,一邊一國行動黨,1062,0.43%,,否,第 10 屆 立法委員選舉,區域
臺北市第04選區,李彥秀,2,女,1971,中國國民黨,118432,47.44%,,是,第 10 屆 立法委員選舉,區域
臺北市第04選區,文祥志,3,男,1958,宗教聯盟,246,0.10%,,否,第 10 屆 立法委員選舉,區域
臺北市第04選區,錢一凡,4,男,1964,安定力量,1596,0.64%,,否,第 10 屆 立法委員選舉,區域
臺北市第04選區,高嘉瑜,5,女,1980,民主進步黨,125138,50.12%,*,否,第 10 屆 立法委員選舉,區域
臺北市第04選區,蕭蒼澤,6,男,1965,喜樂島聯盟,338,0.14%,,否,第 10 屆 立法委員選舉,區域
臺北市第04選區,郭佩雯,7,女,1990,綠黨,2846,1.14%,,否,第 10 屆 立法委員選舉,區域
臺北市第05選區,楊烱煌,1,男,1946,聾國黨,352,0.19%,,否,第 10 屆 立法委員選舉,區域
臺北市第05選區,徐立信,2,男,1975,無黨籍及未經政黨推薦,22208,12.19%,,否,第 10 屆 立法委員選舉,區域
臺北市第05選區,林郁方,3,男,1951,中國國民黨,76437,41.94%,,否,第 10 屆 立法委員選舉,區域
臺北市第05選區,盧憲孚,4,男,1964,無黨籍及未經政黨推薦,385,0.21%,,否,第 10 屆 立法委員選舉,區域
臺北市第05選區,邱一峰,5,男,1952,一邊一國行動黨,551,0.30%,,否,第 10 屆 立法委員選舉,區域
臺北市第05選區,林昶佐,6,男,1976,無黨籍及未經政黨推薦,81853,44.91%,*,是,第 10 屆 立法委員選舉,區域
臺北市第05選區,黃義豐,7,男,1951,無黨籍及未經政黨推薦,325,0.18%,,否,第 10 屆 立法委員選舉,區域
臺北市第05選區,周慶峻,8,男,1943,中華愛國同心黨,134,0.07%,,否,第 10 屆 立法委員選舉,區域
臺北市第06選區,沈宜璇,1,女,1975,台灣維新,1267,0.71%,,否,第 10 屆 立法委員選舉,區域
臺北市第06選區,楊攸凱,2,男,1987,無黨籍及未經政黨推薦,964,0.54%,,否,第 10 屆 立法委員選舉,區域
臺北市第06選區,林奕華,3,女,1968,中國國民黨,93785,52.41%,*,是,第 10 屆 立法委員選舉,區域
臺北市第06選區,蕭瑞麟,4,男,1955,無黨籍及未經政黨推薦,739,0.41%,,否,第 10 屆 立法委員選舉,區域
臺北市第06選區,羅世晧,5,男,1982,勞動黨,677,0.38%,,否,第 10 屆 立法委員選舉,區域
臺北市第06選區,謝佩芬,6,女,1987,民主進步黨,75718,42.32%,,否,第 10 屆 立法委員選舉,區域
臺北市第06選區,黃典本,7,男,1956,無黨籍及未經政黨推薦,177,0.10%,,否,第 10 屆 立法委員選舉,區域
臺北市第06選區,孟藹倫,8,女,1955,中華婦女黨,3507,1.96%,,否,第 10 屆 立法委員選舉,區域
臺北市第06選區,張余健,9,男,1972,喜樂島聯盟,589,0.33%,,否,第 10 屆 立法委員選舉,區域
臺北市第06選區,葉日勤,10,男,1986,台灣基進,1508,0.84%,,否,第 10 屆 立法委員選舉,區域
臺北市第07選區,王映心,1,女,1991,台灣基進,1979,1.08%,,否,第 10 屆 立法委員選舉,區域
臺北市第07選區,蔡宜芳,2,女,1990,台灣民眾黨,17435,9.48%,,否,第 10 屆 立法委員選舉,區域
臺北市第07選區,費鴻泰,3,男,1954,中國國民黨,85082,46.28%,*,是,第 10 屆 立法委員選舉,區域
臺北市第07選區,許淑華,4,女,1973,民主進步黨,79057,43.00%,,否,第 10 屆 立法委員選舉,區域
臺北市第07選區,蘇伊文,5,女,1956,言論自由聯盟,290,0.16%,,否,第 10 屆 立法委員選舉,區域
臺北市第08選區,蕭曉玲,1,女,1964,喜樂島聯盟,474,0.25%,,否,第 10 屆 立法委員選舉,區域
臺北市第08選區,華珮君,2,女,1988,台灣動物保護黨,7660,3.97%,,否,第 10 屆 立法委員選舉,區域
臺北市第08選區,彭子軒,3,男,1982,無黨籍及未經政黨推薦,1324,0.69%,,否,第 10 屆 立法委員選舉,區域
臺北市第08選區,柯士翎,4,男,1989,綠黨,2024,1.05%,,否,第 10 屆 立法委員選舉,區域
臺北市第08選區,阮昭雄,5,男,1970,民主進步黨,67470,34.99%,,否,第 10 屆 立法委員選舉,區域
臺北市第08選區,賴士葆,6,男,1951,中國國民黨,96377,49.98%,*,是,第 10 屆 立法委員選舉,區域
臺北市第08選區,顏銘緯,7,男,1996,台灣基進,4330,2.25%,,否,第 10 屆 立法委員選舉,區域
臺北市第08選區,李文,8,女,1964,無黨籍及未經政黨推薦,1064,0.55%,,否,第 10 屆 立法委員選舉,區域
臺北市第08選區,張幸松,9,男,1958,台灣民眾黨,12111,6.28%,,否,第 10 屆 立法委員選舉,區域
高雄市第01選區,晏揚清,1,男,1959,台灣工黨,704,0.43%,,否,第 10 屆 立法委員選舉,區域
高雄市第01選區,王齡嬌,2,女,1966,中國國民黨,55373,33.82%,,否,第 10 屆 立法委員選舉,區域
高雄市第01選區,邱議瑩,3,女,1971,民主進步黨,91561,55.92%,*,是,第 10 屆 立法委員選舉,區域
高雄市第01選區,黃綉晶,4,女,1972,親民黨,5443,3.32%,,否,第 10 屆 立法委員選舉,區域
高雄市第01選區,羅鼎城,5,男,1976,台灣民眾黨,10661,6.51%,,否,第 10 屆 立法委員選舉,區域
高雄市第02選區,黃韻涵,1,女,1984,中國國民黨,70867,35.40%,,否,第 10 屆 立法委員選舉,區域
高雄市第02選區,邱志偉,2,男,1972,民主進步黨,126469,63.17%,*,是,第 10 屆 立法委員選舉,區域
高雄市第02選區,李柏融,3,男,1949,台灣維新,2871,1.43%,,否,第 10 屆 立法委員選舉,區域
高雄市第03選區,柳淑芳,1,女,1960,台灣獨立黨,939,0.40%,,否,第 10 屆 立法委員選舉,區域
高雄市第03選區,湯金全,2,男,1946,無黨籍及未經政黨推薦,1288,0.55%,,否,第 10 屆 立法委員選舉,區域
高雄市第03選區,李郭秋蘭,3,女,1950,宗教聯盟,319,0.14%,,否,第 10 屆 立法委員選舉,區域
高雄市第03選區,莊于萱,4,女,1985,喜樂島聯盟,1237,0.53%,,否,第 10 屆 立法委員選舉,區域
高雄市第03選區,鄭品娟,5,女,1957,國會政黨聯盟,412,0.18%,,否,第 10 屆 立法委員選舉,區域
高雄市第03選區,黃昭順,6,女,1953,中國國民黨,87665,37.49%,,是,第 10 屆 立法委員選舉,區域
高雄市第03選區,郭新政,7,女,1962,無黨籍及未經政黨推薦,24277,10.38%,,否,第 10 屆 立法委員選舉,區域
高雄市第03選區,劉世芳,8,女,1959,民主進步黨,102300,43.75%,*,是,第 10 屆 立法委員選舉,區域
高雄市第03選區,蘇博廷,9,男,1981,親民黨,3138,1.34%,,否,第 10 屆 立法委員選舉,區域
高雄市第03選區,莊貽量,10,男,1973,台灣民眾黨,12099,5.17%,,否,第 10 屆 立法委員選舉,區域
高雄市第03選區,王貴雄,11,男,1953,興中同盟會,155,0.07%,,否,第 10 屆 立法委員選舉,區域
高雄市第04選區,林岱樺,1,女,1972,民主進步黨,118219,60.03%,*,是,第 10 屆 立法委員選舉,區域
高雄市第04選區,黃兆呈,2,男,1955,台灣維新,10323,5.24%,,否,第 10 屆 立法委員選舉,區域
高雄市第04選區,周凱崙,3,男,1983,無黨籍及未經政黨推薦,11102,5.64%,,否,第 10 屆 立法委員選舉,區域
高雄市第04選區,孫蓬逸,4,男,1955,台澎黨,500,0.25%,,否,第 10 屆 立法委員選舉,區域
高雄市第04選區,徐慶煌,5,男,1976,中國國民黨,56774,28.83%,,否,第 10 屆 立法委員選舉,區域
高雄市第05選區,李佳玲,1,女,1978,台灣民眾黨,20336,8.62%,,否,第 10 屆 立法委員選舉,區域
高雄市第05選區,黃柏霖,2,男,1967,中國國民黨,92220,39.11%,,否,第 10 屆 立法委員選舉,區域
高雄市第05選區,李昆澤,3,男,1964,民主進步黨,123239,52.27%,*,是,第 10 屆 立法委員選舉,區域
高雄市第06選區,李鎔任,1,男,1952,國會政黨聯盟,258,0.11%,,否,第 10 屆 立法委員選舉,區域
高雄市第06選區,林鴻正,2,男,1967,喜樂島聯盟,763,0.32%,,否,第 10 屆 立法委員選舉,區域
高雄市第06選區,劉仙娥,3,女,1974,勞動黨,690,0.29%,,否,第 10 屆 立法委員選舉,區域
高雄市第06選區,周金榜,4,男,1954,無黨籍及未經政黨推薦,447,0.18%,,否,第 10 屆 立法委員選舉,區域
高雄市第06選區,吳佩蓉,5,女,1976,無黨籍及未經政黨推薦,4112,1.70%,,否,第 10 屆 立法委員選舉,區域
高雄市第06選區,吳益政,6,男,1963,親民黨,11964,4.95%,,否,第 10 屆 立法委員選舉,區域
高雄市第06選區,劉哲嘉,7,男,1979,台澎黨,183,0.08%,,否,第 10 屆 立法委員選舉,區域
高雄市第06選區,李建輝,8,男,1981,台灣維新,3082,1.27%,,否,第 10 屆 立法委員選舉,區域
高雄市第06選區,趙天麟,9,男,1973,民主進步黨,128072,52.94%,*,是,第 10 屆 立法委員選舉,區域
高雄市第06選區,陳美雅,10,女,1970,中國國民黨,92337,38.17%,,否,第 10 屆 立法委員選舉,區域
高雄市第07選區,李雅靜,1,女,1977,中國國民黨,86127,38.27%,,否,第 10 屆 立法委員選舉,區域
高雄市第07選區,吳青木,2,男,1948,台澎黨,296,0.13%,,否,第 10 屆 立法委員選舉,區域
